kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
saya admin , sudah sekitar sembilan tahun pakai tri sampai gonta - ganti hp karena rusak tetap setia dengan tri , alhamdulillah .	saya min uda sembilan tahunan pakai tri sampai gonta ganti hp karena rusak tetap setiap sama tri alhamdulillah .
yang benar ? aku sudah ganti ponsel mahal untuk menuruti sinyal xl ini padahal .	mosok ? aku udah ganti hp harang buat nuruti sinyal xl ki padahal .
paket dengan resi bagaimana kabarnya ? mengapa statusnya tidak berubah ya ? padahal yes .	paket dengan resi bagaimana ya kabarnya ? kok statusnya ga berubah ya ? kan yes
mantap , sebanyak ini + sup krim hanya .	mantap segini + soup cream cuman
admin , saya top up shopeepay pakai ovo pakai va mandiri , apakah ini masuk ? biasanya namanya shopee kan ?	min saya top up shopee pay pake ovo pake va mandiri , ini beneran masuk ? biasanya namanya shopee . kan ?
apakah indosat daerah medan mengalami gangguan admin ?	apakah indosat daerah medan mengalami gangguan min ?
apakah tidak bisa nanti saja tanggal ?	gabisa nnti aja tanggal apa
tai kamu . bangsat . jaringan seperti tai saja , bacot kamu . besarkan tolol kamu .	tai l bangsat jaringan kyk tai aja bacot l gedein tolol xl
saat ini saya belum punya , rencana mau minta ganti ke mastercard . jadi saya minta info dulu untuk biaya administrasi bulanannya ? dan jenis - jenis kartunya ?	saat ini saya belum punya , rencana mau minta ganti ke mastercard jadi saya minta info dulu untuk biaya administrasi bulanan nya ? dan jenis2 kartunya ?
admin , saya mau pembayaran via virtual account atau pembayaran e - commerce ke tokopedia dari klik bca mengapa gagal melulu ?	min saya mau pembayaran via virtual account atau pembayaran e - commerce ke tokopedia dari klik bca kok gagal melulu ya ?
matikan dan menjauh bang . menawar di salemba saja .	matiin dan menjauh bang , ngebid di salemba aja .
kak rifat tolong menangkan aku . aku benar - benar tanpa harapan .	kak rifat tolong menangin aku ya , aku bener2 hopeless
sejak juli menunggu jawaban bca . sudah mengirim email , sudah twitter . tidak ada jawaban sama sekali dari bca . luar biasa !	dari juli menunggu jawaban bca . krim email sudah , twitter sudah . tidak ada jawaban sama sekali dari bca . luar biasa !
apakah ini balasan bowo tiktok ?	ini yg reply bowo tiktok bukan ?
syaratnya bagaimana ? aku tidak tahu hahaha .	syaratnya gimana sih aku gk tau hehe
admin , periksa dm saya lagi .	min cek dm saya lagi yaa
admin , boleh minta tolong informasinya . untuk pengiriman kendaraan bermotor roda dua , berkas yang dibutuhkan apa saja ? apakah butuh bpkb juga ? mohon informasinya .	min boleh tolong informasinya utk pengiriman kendaraan motor roda dua berkasnya butuh apa saja ? apakah butuk bpkb nya juga ? mohon infonya
kalau netflix tidak dibuka blokirnya , saya akan ganti kartu .	kalo netflix gak jg di unblock , gue bakalan ganti kartu
mas , mbak . seventeen ingin upload teaser nanti malam jam . tolong aplikasinya jangan gangguan terus . saya ingin membeli paket . terima kasih . jangan lupa stan seventeen .	mas , mbak , seventeen mau upload teaser nanti malem jam , tolong aplikasinya jangan error mulu saya mau beli paket . makasih . jangan lupa stan seventeen .
ini ada di menu apa ?	ini ada di menu apa siih
untungnya aku download aplikasi gojek hahaha , terima kasih .	untungnya aku download aplikasi gojek hihiiw terimakasih
selamat sore admin . mohon respon dm untuk kendala verifikasi pembayaran yang saya alami . terima kasih .	sore min , mohon respon dm ya untuk kendala verifikasi pembayaran yg saya alami terimakasih .
samsung m30 , sunsetroad kuta bali , restart sudah x .	samsung m30 , sunsetroad kuta bali , restart udah x
lagi pada beli motor , gan . masih inden tahun .	lagi pada beli motor gan masih inden taun
tapi dari hari sabtu sudah ada di kurir , kenapa sampai sekarang belum sampai ? katanya jne yes , tapi sudah hari tidak sampai .	tp dr hari sabtu udh ada di kurir . masa smpe skrng blm sampai . katany jne yes tp udh hari g sampai .
bca mobile sudah berjalan dengan baik di android per update hari ini . terima kasih .	bca mobile udah berjalan dengan baik di android per update hari ini . thanks
bismillah . jawaban : a . mari ikutan kawan .	bismillah jawaban : a yuk ikutan gaes
kak . kenapa saya tidak bisa membeli paket ? saya mau membeli yang , pulsa saya juga tepat . tetapi disini tulisannya adalah pulsa tidak cukup ?	kak ko saya gabisa beli paket ya ? saya mau beli yg , pulsa saya juga pas . tapi disini malah tulisannya pulsa tidak cukup ?
admin , tidak adakah perbedaan jumlah tarif antara gopay dengan cash ?	min , gopay sama cash gak ada perbedaan jumlah tarif yah ?
karena anda menabungnya di bank sampah . - andi	krn anda nabungnya di bank sampah . - andi
halo . halo saya isi gopay tapi gopay - nya tidak masuk , saya melaporkan ke siapa ? aplikasi mobile bank sudah berhasil masuk soalnya .	halo . kl saya isi gopay tp gopaynya ga masuk . saya ngadu ke siapa ya ? aplikasi mobile bank sudah berhasil masuk soalnya .
sudah aku dm ya min . tolong responnya .	udah aku dm ya min , tolong responnya .
aku bisa sangat dahulu awal - awal disuruh upgrade .	ku bisa dulu bgt awal awal disuruh upgrade
ternyata memang sinyal anda tidak bisa masuk kamar kos saya .	ternuata memang sinyal anda ga bisa masuk kamar kos saya
yasudah , dimana kode promo untuk milonya ? hahaha , tidak deh .	yauda mana kode promo buat milo nya ? hahaha ngga deng
akun ini tidak bisa saya dm , kakak .	akun ini gk bisa sy dm kaka
sambil menunggu pesanan siomay gulai tek kuaci baksonya jadi .	sambil nunggu pesenan siomay gulai teh kuaci baksonya jadi
senang melihatnya . ub bukanlah ub tanpa pria ini . legenda !	seneng liatnya . ub is not ub without this man . legend !
informasi resi es196539295kr sudah sampai mana ya ?	info resi es196539295kr sudah sampai mana ya ?
kartu sim xl saya sudah hilang dan saya ingin mengaktifkan nomor xl saya . apakah bisa ? caranya bagaimana ?	kartu sim card xl saya sudah hilang dan saya ingin mengaktifasi nomor xl saya apakah bisa ? caranya bagaimana ?
ini bagaimana ? mengapa bisa terblokir ?	ini gimana ya kok bisa terblokir
terimakasih , uang jajan saya ditambahi love gojek hahaha .	makasih duit jajan saya ditambahi love gojek hwehehehe
hai admin . paket saya mengapa tidak sampai - sampai ? mestinya hari yang lalu sudah sampai .	woy min paket gue kok g nyampe2 ya . mustinya hari yg llu udh nyampe .
semoga cepat masuk kak saldonya . admin mohon cepat ditindaklanjuti masalahnya .	ya ampun semoga cepet masuk ya ka saldonya . min cepet ditindaklanjutin dong masalahnya
bila ada daftar kontaknya , tolong dibagikan linknya min .	bila ada daftar kontaknya tolong dishare dong linknya min
admin , hadiah voucher zalora yang didapat dari daily check in sampai kapan berlakunya ?	min , hadiah voucher zalora yang didapat dari daily check in sampe kapan berlakunya ?
mau membatalkan tidak bisa . tolong cek dm .	mau nge cancel gabisa tlg cek dm
mengambil saldo tidak masuk - masuk ke bri saya .	withdraw saldo gak masuk2 ke bri saya .
tetapi kak , orang kalian menelpon saya dan menyebutkan bahwa akan dikirimkan password rahasia , dan benar - benar dari sms telkomsel . apakah ini benar ?	tapi ka di saat orng situ nelfon saya ntr di kirimkan password rahasia dan ini bener2 dri sms ( telkomsel ) apakah boong apa benar ?
tidak akan dibalas . karena , mereka tidak ada yang lajang .	ga bakalan dibales , soalnya mereka ga ada yg jomblo
selamat malam mau tanya , kenapa bonus kuota aplikasinya tidak bisa dipakai ? malah tersedot terus kuota utamanya . terima kasih .	selamat malam mau tanya , kenapa bonus kuota aplikasi nya gak bisa di pake ? malah kesedot terus kuota utama nya . terimakasih
jp . paket saya kemana ! ini tidak ada tanggapan sama sekali setan . kurirnya bodoh cs tuli .	jp . paket gua kemana ! ni ngak ada tanggapan sekali setan . kurirnya tolol cs budeg
terima kasih . karena sudah diberikan voucher potongan pulsa .	terima kasih karena sudah dikasi voucher potongan pulsa .
apakah penjualan tiket kereta api masih perbaikan dari kemarin ?	penjualan tiket kereta api masih perbaikan ya dr kmrn ?
saya pikir , hanya saya saja . sama ini .	aq pikir cuman saya doank . sama nih
benar - benar aneh . paket data masih ada tetapi dikatakan tidak ada . saat browsing dan download malah ditarik dari pulsa .	ini bener2 aneh . paket data masih ada tapi dibilang ga ada . pas browsing & download malah ditarik dari pulsa
siang admin , saya mau bertanya . apakah jaringan smartfren untuk wilayah depok , sleman , daerah istimewa yogyakarta sedang gangguan ?	siang admin , saya mau tanya . untuk wilayah depok , sleman , diy jaringan smartfrennya lagi gangguan kah ?
saya bayar e - samsat di tokopedia . jika sudah lewat hari , apakah pembayaran saya tidak berlaku lagi ?	saya bayar esamsat di tokopedia , jika sudah lewat hari apakah pembayaran saya tidak berlaku lagi ?
hi admin . mohon informasikan untuk resi jd apakah akan diantarkan ke tujuan hari ini ? terima kasih .	hai min , mohon info untuk resi jd apakah akan diantarkan ke tujuan hari ini ? terima kasih
admin , mengapa nomor saya tidak bisa masuk ke aplikasi ?	min nomor saya kok gabisa masuk ya ke aplikasi
kak , cek dm ya , terima kasih .	kak check dm ya , terimakasih
go - kuda , silakan kamu ambil itu !	go - kuda lu sikat deh tuh !
tolong undang , agar dapat mengirim pm . terima kasih .	invite donk biar bisa pm . terima kasih
halo apa three sedang gangguan ? kenapa lambat sekali internet saya .	halo apa three lagi gangguan ? kenapa lemot bgt internet sy
maaf , kenapa kakak - kakak nct menjadi tukang ojek online ? hahaha .	maaf ini kenapa kokoh kokoh enciti jadi kang ojol yak wkwkwkkw
kalau begitu juga saya juga tahu . saya tanya apa ada kemungkinan menghubungi kurir . alamat tujuan pengiriman jelas . status diantar kurir . masa sehari . ya sudah .	kalau gitu juga saya juga tau . saya kan nanya apa ada kemungkinan menghubungi kurir . alamat tujuan pengiriman jelas . status diantar kurir . masa sehari . yaudalah .
perlu adanya kampanye tertib lalu lintas .	perlu ada kampanye tertib lalu lintas .
tolong cek pesan dari saya ada yang mencoba masuk ke akun i - banking saya sampai terblokir .	tolong cek pesan dari saya ada yang mencoba masuk ke akun ibanking saya sampe terblokir
saya sudah kirim , admin . mohon dicek .	sudah saya kirim min mohon di cek
bpjs kesehatan di kategori .	bpjs kesehatan di kategori .
driver di jogjakarta sedang apa ? mengapa sibuk semua ? lapar nih .	driver di jogja pada ngapain ea kok sibuk semuaa hh laper neh
karena sudah menemukan tambatan hati yang baru mas .	karena udah nemu tambatan hati yang baru mas .
ya kalau cancel bisa , maksudnya tidak bisa transaksi karena layarnya tidak bisa diapa - apakan .	iya klo cancel bisa , maksudnya gabisa transaksi krn layarnya gabisa diapa2in
aku salut sekali sama abangnya . niat sekali ! boleh sekali abangnya diberi bonus .	aku salut sekali sama abangnya , niat banget ! boleh kali abangnya nih dikasi bonus
bagaimana caranya menghapus akun gojek ? terimakasih .	bagaimana caranya menghapus akun gojek ? terima kasih
typo membuat salah paham .	owhh haha typo bikin salah paham
paketan yellow tidak otomatis diperpanjang , padahal katanya otomatis perpanjang , jadinya pulsa terpotong sampai habis . kalau seperti ini yang salah konsumen atau provider admin ?	paketan yellow ga otomatis diperpanjang padahal katanya otomatis perpanjang , jadinya pulsa kesedot sampe habis , kalo gini yg salah konsumen atau provider min
mohon info , kenapa dengan koneksi bukalapak ?	mohon info kenapa dengan koneksi bukalapak ?
itu promo di rewards kamu ?	itu promo di rewards kamu ya ?
jek , dm - lu tidak kamu balas .	jek , dm ku ra mbok baless
tidak . benar gangguan sepertinya . makanya , wa dia sudah masuk hahaha .	engga . gangguan beneran kayanya . makanya wa dia susah masuk wkwkwk
tidak dapat dirubah kak . tulisannya , dalam pengawasan . saya tidak dapat merubah atau menghapus produk .	gk bisa di ubah kak , tulisannya dalam pengawasan . saya gk bisa ubah / hapus produk
menunggu e - mail dibalas oleh .	menunggu e - mail dibalas oleh .
seperti itu , pilih kasih .	ohh gitu ya pilih kasih yaa
halo , apakah sinyal im3 lagi masalah ? ya ampun mau putar video sangat susah .	holaa apakah sinyal im3 lagi trouble ? ya ampun mau putar video susah banget
lalu pilih yang mana min ? yang lengkap dong memberi tahunya !	terus pilih yg mana min yg lengkap dong kasih taunya
tadi saya top up ke shopeepay , sudah berhasil , tapi kenapa di aplikasi tetap ? tolong baca pesan saya . terimakasih .	tadi saya topup ke shopee pay , sudah berhasil tapi kok di aplikasi tetep ya ? tolong baca dm saya ya . terimakasih
pagi kak . mau tanya untuk kirim paket jika menggunakan job bebas di counter mana saja ?	pagi kak , mau tanya untuk kirim paket jika menggunakan job bebas di counter mana saja ?
admin saya pengguna baru xl . ada paket apa saja untuk internet per bulan ? mohon infonya	min saya penguna baru xl . ada paket apa aja ya buat internet per bulan ? mohon info nya
apakah kode emoney25 dapat digunakan x selama periode promo ? saya mencoba melakukan transaksi kedua kali , keesokan harinya mengapa tidak bisa ?	kode emoney25 bisa digunakan x selama periode promo kan ? saya coba transaksi kedua kali keesokan harinya kenapa tidak bisa ya ?
sinyal g full tapi tidak bisa dipakai . daerah jogja ini kenapa sudah hampir seminggu .	sinyal g full tapi ga bisa dipake , daerah jogja ini kenapa udh hampir seminggu
dm ku juga dilihat dong admin . sudah jam yang lalu .	dm ku juga diliat dong min udh jam yg lalu
bias : anggota terfavorit . maknae : anggota termuda . aegyo : bertingkah dan menggemaskan . mari kawan ikut berpartisipasi !	bias : member terfavorite maknae : member termuda aegyo : bertingkah dan menggemaskan mari guys ikutan berpartisipasi
untung ada blue mart + dana ( jajan hemat )	untung ada blue mart + dana ( jajan hemat )
admin , smartfren selalu tidak ada jaringan , apakah sedang gangguan ?	min smartfren gaada jaringan mulu , lagi gangguan ?
tolong diremitansi transaksi nomor status track jne delivered pada tanggal pukul .	tolong diremit transaksi no status track jne delivered pada tgl pukul
dari tadi pagi sinyal hilang - hilangan . data selulernya tidak muncul , padahal sudah diaktifkan . tolong , admin , bagaimana ini ?	dari tadi pagi sinyal ilang ilangan data selulernya ga muncul padahal udh di aktifin tolong lah min gimana ini
halo admin , saya mau melaporkan sebuah toko . jadi penjualnya itu bersikap tidak sopan ke saya ( selaku pembeli ) dan saya merasa tersinggung dengan perkataan penjualnya .	halo admin , saya mau melaporkan sebuah toko . jadi penjualnya itu bersikap tidak sopan ke saya ( selaku pembeli ) dan saya merasa tersinggung dengan perkataan penjualnya .
admin , bagaimana ? sudah lama sekali tidak dibalas - balas email saya min .	min ini gimana min . udah lama benet gk dibales2 email saya min .
saya baru saja mengalami kehilangan kartu atm . bisa dibantu untuk mengurusnya ? terima kasih .	saya barusan mengalami kehilangan kartu atm . bisa di bantu untuk mengurusnya ? terimakasih
dm juga tidak dibales min . jangan seperti dia min , online namun tidak dibalas pesannya . tolong dicek min .	dm pun gk d bls min , jangan kaya dia deh min online tp gk d bls pesannya . tolong di cek min
apakah ini pekerjaan bukalapak resi sudah benar mengapa dana saya dikembalikan ke pembeli ?	apa ini kerjaan bukalapak resi udah benar kenapa dana saya dibalikin ke pembeli ?
alasan saja dia admin , padahal ingin bertingkah seperti penggemar perempuan .	alasan aja dia min padahal mau fangirling
hey . bagaimana cara mengganti nomor telepon akun go - jek dan go - pay bagi pelanggan ? sementara nomor telepon yang lama sudah hangus .	hey . gimana ya mengganti nomor hp akun gojek & gopay bg customer , sementara no hp yg lama sudah hangus ?
hai xl , mengapa sinyal anda sangat hancur ?	hi xl kenapa sinyal anda ancur sekali
admin , ini mengapa saya pakai paket unl tapi untuk akses ke shopee tidak bisa ? ini tandanya sudah aktif atau belum ?	min ini kenapa saya pake paket unl tapi kok untuk akses ke shoppe gabisa yah ? ini tandanya udah aktif atau blom ?
admin . mengapa kecepatan mengunduh sangat lambat sekali . jaringan g , kecepatan koneksi seperti g .	min ini speed download busuk amat . jaringan g kecepatan koneksi serasa g
ini sangat mengganggu dan kalau mulai jam koneksi mulai lambat .	ini mengganggu banget dong , dan kalo mulai jam koneksi mulai lemot dong .
tidak ada respons dari pihak terkait tidak bisa login ini .	gak ada respon ni dari pihak terkait gak bisa login ini
sangat tidak rela sekali k saya tersedot begitu saja , tapi kuota tidak masuk - masuk oi .	yah ga rela bgt k gue tersedot gt aja , tapi kuota ga masuk masuk woy
betulkan jaringan , bego . jangan promo terus - menerus .	bnerin jaringan bego , bukan promo mlulu
apakah harus memiliki pulsa yang banyak untuk menghubungi nomor itu ? memangnya , tidak ada twitter brilink ya ?	harus punya pulsa banyak klo hub . nomer itu ya min ? emang gak ada twitter brilink ya
tiga hari ini jaringan g terhambat , g terengah - engah . sedekar buka web saja lambat . tolong ditindaklanjuti .	tiga hari ini jaringan g ngadat , g pun ngos - ngosan . sekedar buka web saja luaamaa . tolong dong di tindak lanjuti
tidak ada , sampai saya sudah tanya ke kos sebelah	gak ada sampai sudah ditanya sampai ke kos sebelah
mengapa bank bca belum ada di sibolga ?	bank bca kenapa belum ada di sibolga yaa .
ketika abang grab mengantar pesanan grabfoodnya demi dapat bonus .	ketika abang grab nganterin orderan grabfoodnya demi dapet bonusan .
admin , mau tanya , kemarin sudah bayar di gerai indosat masuk email dan smsnya sudah membayar paid , tapi kenapa di aplikasi im3nya masih unpaid ?	min mau tanya kmrn udh bayar di gerai indosat masuk email dan smsnya udh membayar ( paid ) tpi kok di aplikasi im3nya masih unpaid ya ?
saya yang bantu bagikan , tidak dibalas min . sedih .	gue yg bantu share kagak di bales min , sad
mau tau jawabannya ? barang sekeras itu bisa pecah . sudah dikemas rapi sudah dikasih tanda pecah belah hasilnya hancur . jne sangat mengecewakan !	mau tau jawabannya ? barang sekeras itu bisa pecah sudah di kemas rapih sudah di kasih tanda pecah belah hasilnya hacur . jne sangat mengecewakan !
saya sudah menyelesaikan misi jugglenaut saat masih ada sisa hadiahnya . sampai sekarang belum dikirim hadiahnya .	sy sudah menyelesaikan mission jugglenaut pas masih ada rewards left nya smoe skrg blm dikirim rewardsnya
aku baru sadar sekarang ovo , kukira oppo .	aku baru ngeh sekarang ovo tak kira oppo
tolong ditindaklanjuti yang seperti ini .	tolong di tindak lanjuti yang beginian
mohon dibantu sinyal indosatnya , mengapa sangat lambat ? padahal baru daftar paket internet .	mohon dibantu sinyal indosatnya koq lemot bgt . baru daftar pket internet padahal .
terima kasih atas responnya admin . happy weekend .	terima kasih atas responnya min . happy weekend
saya memiliki paket telepon , mengapa yang dipakai adalah pulsa ? jawab lewat sini saja , kalau dm lama .	saya punya paket nelpon , kenapa yg dimakan pulsa ? jawab lewat sini aja , kalo dm lama
selamat malam kak . nomor saya kalau diisi pulsa mengapa tersedot terus ? bisa dicekin ? terima kasih .	selamat malam k no saya kalo diisi pulsa kok ke sedot terus ya bisa di cek kin terimskasih
untuk waktu nonton sekeluarga . terima kasih .	buat movie time sekeluarga ️ thanks
halo admin . apa bisa tolong batalkan nomor pesanan q1dq ? ini terjadi pesanan ganda admin , jadi mau batalkan salah satunya .	hallo admin apa bisa tolong batalkan nomor pesanan q1dq ini terjadi double pesanan min jadi mau cancel salah satunya
kecewa berat dengan jaringan . setiap malam jaringannya tidak stabil .	kecewa berat dengan jaringan tiap malam jaringannya gak stabil
migrasi kartu atm dari magnetik ke chip , pesan dengan nama di bni pucangsawit uns solo bulan tidak jadi . padahal janjinya hanya minggu .	migrasi kartu atm dari magnetik ke chip , order by name di bni pucangsawit uns solo bulan tidak jadi . padahal janjinya hanya minggu .
sama seperti saya , pak . paket saya tidak saya terima . klaimnya tidak jelas kapan hasilnya . jangan tunggu ini menyebar !	sama kayak saya pak paket saya gak saya terima claim gak jelas kapan hasilnya , jangan tunggu ini menyebar ya !
sudah hari barang terhenti . tolong ditindaklanjuti .	sudah hari barang nyangkut tolong follow upnya
halo admin . saya ingin daftar paket unlimited tapi tidak bisa registrasi . apakah sedang gangguan ?	hallo admin saya ingin daftar paket unlimited tidak bisa teregistrasi . apakah sedang gangguan ya ?
ke grapari niatnya ingin mengganti sim ke g . eh , antriannya habis . saat pulang ditawarin nomor sama tukang parkir . bagaimana itu ?	ke grapari niat mau tuker sim ke g . eh antriannya abis , pas pulang ditawarin nomor sama kang parkir . kumaha eta
sekencang - kencangnya mantan incaran cewek yang baru sehabis putus , lebih kencang lagi admin twitter dan tim kreatifnya memanfaatkan konten viral dengan menjadikannya konten marketing .	sekencang - kencangnya mantan gebet cewek baru abis putus , lebih kencang lagi admin twitter dan tim kreatifnya memanfaatkan konten viral dengan menjadikannya konten marketing .
siang admin , mau bertanya . toko saya telah mendaftar mengikuti program gratis ongkos kirim belanja rp0 . lalu tahunya , kita sudah terdaftar program tersebut . bagaimana solusinya ? tolong informasinya . terima kasih .	siang min , mau tanya . toko saya daftar mengikuti program gratis ongkir min . belanja rp0 . trus taunyaa kita udah terdaftar program tsb gimana ya ? tolong infonyaa yaa . makasih
kawan , bagaimana cara mengaktifkan paket internet ?	gaiss aktivasi paket inet caranya gmn ?
admin , ini sudah ketahuan siapa .	ini mah udah ketawan min siapa
bias : anggota terfavorit . maknae : anggota termuda . aegyo : bertingkah lucu / imut .	bias : member terfavorite maknae : member termuda aegyo : bertingkah lucu / imut
baik , saya masih di depan mesin atm .	baik , sy masih di depan mesin atm
pulsa saya berkurang padahal tidak digunakan . saya mau beli paket jadi kurang , bagaimana ini ?	pulsa sya brkurang pdhl ga di pake , mau beli paket jdi kurang gmn ini
bl1913pytauginv transaksi batal tapi saldo bl dan dana saya belum kembali . tolong diproses . terima kasih .	bl1913pytauginv transaksi batal tapi saldo bl dan dana saya blm kembali tolong diproses thank you
tolong ya , tidak lagi memakai jasamu itu kalau tidak profesional . kalau terus - terusan seperti ini bakal bobrok , sainganmu itu banyak !	tolong ya , ngga lagi2 make jasamu itu klo ga profesional , klo terus2an gini , bakal bobrok , banyak sainganmu itu !
kapan ada grabdrone atau godrone ?	kapan nih ada grabdrone ato godrone ?
admin , apakah dm lagi cuti admin ? saya saja melamar jadi admin khusus balaskan dm . jari - jari lentik saya cekatan ngetiknya .	admin dm lagi cuti ya min ? sy aja deh ngelamar jadi admin khusus balesin dm jari - jari lentik saya cekatan ko ngetiknya
maksudnya lewat laptop via situs ?	maksudnya lewat laptop via website ?
hai . mau mengirimkan informasi keluhan , bisa ke email yang mana ya ? terima kasih .	hai mau info keluhan bisa ke email mana ya ? thanks
saya beli paket rp . ribu tapi mengapa tidak masuk ? padahal pulsanya sudah terpotong .	saya belipaket rp . rb tapi kok tidak masuk ya ? padahal pulsanya udh kepotong
mau lapor atm yang rusak kemana ? ada satu mesin atm yang tombol angka nya nyangkut , hampir kartu mandiri saya terblokir .	mau lapor atm yang rusak ke mana ya ? ada satu mesin atm yang tombol angka nya nyangkut , hampir kartu mandiri saya terblokir .
panjang cm x lebar cm . berat kg . dari surabaya karang pilang ke jombang kec . bandarkedungmulyo .	panjang cm x lebar cm . berat kg . dari surabaya karang pilang ke jombang kec . bandarkedungmulyo .
setelah baca kasus ini , mari kita biasakan tidak isi gopay terlalu banyak biar kalau ada ancaman disedot kita bisa berfikir tenang dengan kemungkinan terburuknya .	setelah baca kasus ini , mari kita biasakan tidak isi gopay terlalu banyak biar kalo ada ancaman disedot kita bisa mikir tenang dengan kemungkinan terburuknya .
permisi admin , maaf malam minggu malah tanya . kalau mau ganti nomor rekening ponsel akun gojek driver bagaimana ? soalnya kartunya hilang .	permisi mimin , maap malem minggu malah nanya hehe kalo mau ganti nomer rekening ponsel akun gojekdriver gimana ya ? soalnya kartunya is missing
itu admin , seharusnya ada bonus saldo ovo untuk completionnya . tapi saat diklik tidak ada admin .	tuh min , harusnya ada bonus saldo ovo kan ya buat completion nya , tapi pas diklik ga ada tuh min
kalau paket cod gagal dikirim , bagaimana kelanjutannya ? pembeli susah dihubungi .	klo paketan cod gagal dikirim , gimana kelanjutannya ? pembeli susah dihubungi
ya ampun , tidak tahan dengan jaringan indosat , sangat lambat .	yampunn gatahan sama jaringan indosat , lemott p a r a h
selamat malam admin . apakah di grapari cinere mall , bisa melakukan potong sim card menjadi nano sim card ? terima kasih .	selamat malam admin , apakah di grapari cinere mall bisa melakukan potong sim card menjadi nano sim card , terima kasih
aduh , admin salah ketik . masih pagi hehe . sarapan dahulu min , ngemil gorengan juga boleh . pakai saos abc ya , biar gurih - gurih enak .	duh mimin typo deh masih pagi hehe sarapan dulu min , ngemil gorengan jg boleh , pake saos abc yaa biar gurih gurih nyooyy
admin , mengapa hadiahnya belum dikirim ? hahaha .	min hadiahnya kok belum dikirim2 wkwk
aku ingin cari jodoh , apakah masih tersedia ?	aku mau cari jodoh , apakah masih tersedia ?
bingung dengan sinyal tidak pernah stabil , sebanyak apapun isi kuota sepertinya tidak berpengaruh . sudah ubah g pun tetap saja .	bingung sama sinyal ga pernah stabil , sebanyak apapun isi kuota kayanya ga ngaruh . udh ubah g pun ttp aja .
halo admin . saldo ovo tidak muncul di grab . padahal nomor hp sudah sama . tolong cek dm admin .	halo min saldo ovo ga muncul di grab , padahal nomor hp sudah sama . tolong cek dm ya min
admin , mengapa di sms semua paket dinonaktifkan , tetapi lewat aplikasi mytsel paket masih aktif ?	min , ini kenapa ya di sms semua paket dinonaktifin tp lewat aplikasi mytsel paket msh aktif ?
ada satu kata yang cocok sekali untuk anda : goblok !	hehe nih ada satu kata yang cocok banget buat elu , goblok
kak , paket dokumen saya belum sampai . bisa bantu dititip ke jne siborong - borong saja agar diambil sendiri ? karena saya periksa masih di daerah medan .	kak paket dokumen saya belum sampai bisa bantu di titip ke jne siborong - borong aja biar diambil sendiri soalnya saya cek masih daerah medan
anjing . ada yang tahu nama saya . karena sarang spam .	anyii . ada yang tau nama aing . karena sarang spam .
"berisik ! betulkan dulu jaringan yang katanya "" prioritas ."	"bacot ! benerin dulu jaringan yang katanya "" prioritas """
oh ya mandiri online . tolong admin . mengapa saat proses masuk baru tidak dapat sms ?	oh ya mandiri online , tolong min knp saat proses masuk baru tak dpt sms
dari ribu , sekarang menyisakan ribu . baik .	dari ribu skarang nyisa ribu . oik ,
halo , tolong diperiksa dmnnya , ya allah .	haloo , tolong bgt dicek dmnyaa yaallah
kenapa internet jadi lambat ? padahal sudah di pengaturan terus pilih jaringan manual tetap saja lambat .	kenapa ya internet jadi lemot ? padahal udah di pengaturan terus pilih jaringan manual tapi tetap saja lemot
dan terjadi lagi , ini sudah penjual ketiga berturut - turut yang bermasalah .	dan terjadi lagi ini udah seller ketiga kali berturut turut yang bermasalah
hmm , atm bri dekat rumah saya dari beberapa waktu yang lama error , sampai transfer saja error . bagaimana ini ?	hmm atm bri dekat rumah saya dri bebrpa waktu yang lama error , sampai transferpun error . bagaimana ini ?
sinyal penuh g , tapi lambat sekali ini . ah ah ah .	signal g full tp lemot bet dah ah elah . ah ah ah .
grab paket hemat saya billingnya itu tanggal juli . sekarang sudah agustus mengapa subscribe - nya masih aktif ?	grab paket hemat saya billingnya itu tgl juli sekarang aja udh agustus kok subscribe nya masih aktif ya ?
kemarin saya sudah ke toko indosat yang di ciputra mall . terima kasih .	kmrn sy sudah ke outlet indosat yg di ciputra mall . terima kasih
ya dikasih kopi , kopi sudah mendarah daging .	iye di kasih kopi , kopi sudah mendarah daging
tolong kalau kasih voucher yang jelas dong . ini dapatnya maksimal berapa ribu ? hanya ada minimal pembelanjaan saja soalnya t & c tidak jelas .	tlg kalo ngasih voucher yg jelas donk , ini dapet nya maksimal brp ribu ? cuma ada minimal pembelanjaan aja soalnya t & c ga jelas
iya sama . tidak bisa periksa kuota , tiba - tiba saja pulsa langsung terpotong .	hehh iya sama . gabisa cek kuota tbtb aja pulsa langsung kepotong njirr .
masih error , saya beralih saja ke kartu yang lain .	masih error , saya beralih aja ke kartu yang lain
admin , ini bagaimana ? saya baru beli voucher k pakai go - points . saat dipakai hanya dapat potongan k ?	min ini gimana ya ? saya abis beli voucher k pake go points . pas dipake cuma dapet potongan k ?
selamat sore admin . belum sampai juga . apakah bisa dibantu update admin ?	sore min . belum sampe2 . bisa di bantu update min ?
apakah lagi ada gangguan ? kenapa tidak bisa mau pesan grabfood ? kelaparan ini .	lg ada gangguan ya ? kok gak bisa mau pesan grabfood , kelaperan nih
